issue type,summary,description,priority,parent,reporter
Task,Implement Sort by Price,"Add sort dropdown with price ascending/descending options. Persist sort preference. Components: SortDropdown.tsx. Hooks: useSortProducts.ts.",Medium,US-PS.5,Antonio Jones
Task,Implement Sort by Popularity and Name,"Add sort options for popularity and alphabetical order. Track product view/order counts for popularity. Components: SortDropdown.tsx (enhance). Tables: product_analytics (new table).",Medium,US-PS.6,Antonio Jones
Task,Build Search Relevance Ranking,"Implement relevance algorithm for search results. Highlight keywords in results. Components: SearchResults.tsx (enhance). Hooks: useSearchRelevance.ts.",Medium,US-PS.7,Antonio Jones
Task,Create Age Verifications Table,"Create database table for storing age verification records. Migration: create_age_verifications_table.sql. Tables: age_verifications (user_id, dob, verified_at, region, verification_method).",Critical,US-AV.2,Antonio Jones
Task,Build Legal Age Check by Region,"Implement region-based age verification logic. Support US states and international markets. Edge Functions: verify-legal-age. Tables: age_verifications, region_age_rules (new table).",Critical,US-AV.3,Antonio Jones
Task,Implement Re-verification Logic,"Add re-verification triggers at checkout and for suspicious activity. Components: ReVerificationModal.tsx. Edge Functions: trigger-reverification. Tables: age_verifications.",High,US-AV.5,Antonio Jones
Task,Build Underage User Blocking,"Implement access block and redirect for underage users. Add 24-hour block after 3 failed attempts. Components: UnderageBlockPage.tsx. Tables: age_verification_blocks (new table).",Critical,US-AV.6,Antonio Jones
Task,Create Delivery/Pickup Selection UI,"Build delivery/pickup toggle in checkout. Implement delivery address input and fee calculation. Components: DeliveryPickupSelector.tsx. Hooks: useDeliveryOptions.ts. Tables: orders (add delivery_method, delivery_address, delivery_fee columns).",High,US-CO.2,Antonio Jones
Task,Integrate Stripe Payment Form,"Implement Stripe Elements for secure payment input. Handle CVV/expiry validation. Components: StripePaymentForm.tsx. Edge Functions: create-payment-intent. Tables: N/A (Stripe hosted).",Critical,US-CO.3,Antonio Jones
Task,Build Special Instructions Input,"Add special instructions text area in checkout. Display instructions in order summary. Components: SpecialInstructionsInput.tsx. Tables: orders (special_instructions column exists).",Low,US-CO.5,Antonio Jones
Task,Implement Checkout Error Handling,"Add error handling for payment failures, out-of-stock items, venue closure. Components: CheckoutErrorHandler.tsx. Edge Functions: validate-checkout. Tables: inventory (new table).",High,US-CO.8,Antonio Jones
Task,Build Real-Time Order Status Tracking,"Implement WebSocket/polling for real-time order status updates. Display progress bar/timeline. Components: OrderStatusTracker.tsx. Hooks: useRealtimeOrderStatus.ts. Tables: order_status_history.",High,US-OH.3,Antonio Jones
Task,Implement Reorder Functionality,"Add 'Reorder' button to past orders. Handle unavailable items. Components: ReorderButton.tsx. Hooks: useReorder.ts. Tables: orders, order_items.",Medium,US-OH.4,Antonio Jones
Task,Build Order Filter and Search,"Implement filter by date/status and search by order number/item. Components: OrderHistoryFilters.tsx. Hooks: useOrderFilters.ts. Tables: orders.",Low,US-OH.5,Antonio Jones
Task,Implement Order Cancellation,"Add 'Cancel Order' button with confirmation. Process refunds. Components: CancelOrderButton.tsx. Edge Functions: cancel-order. Tables: orders (add cancellation_reason column).",Medium,US-OH.6,Antonio Jones
Task,Build Contact Details Update UI,"Create email/phone update form with OTP verification. Components: ContactDetailsForm.tsx. Edge Functions: verify-contact-change. Tables: profiles.",High,US-MP.2,Antonio Jones
Task,Implement Birthday and Gender Management,"Add DOB and gender input fields with privacy controls. Components: PersonalInfoForm.tsx. Tables: profiles.",Medium,US-MP.3,Antonio Jones
Task,Build Address Management UI,"Create address input form with Google Places API. Support multiple addresses. Components: AddressManager.tsx. Tables: user_addresses (new table).",Medium,US-MP.4,Antonio Jones
Task,Implement Notification Preferences,"Build preference toggles for email, SMS, push. Support granular controls. Components: NotificationPreferences.tsx. Tables: user_preferences (new table).",High,US-MP.5,Antonio Jones
Task,Build Marketing Communication Controls,"Add marketing opt-out toggles with unsubscribe link. Components: MarketingPreferences.tsx. Tables: user_preferences.",Medium,US-MP.6,Antonio Jones
Task,Implement Privacy Settings UI,"Create privacy controls for data sharing, ads, analytics. Components: PrivacySettings.tsx. Tables: user_consents.",High,US-MP.7,Antonio Jones
Task,Build Consent Management UI,"Implement granular consent toggles with logging. Integrate with cookie consent. Components: ConsentManager.tsx. Tables: user_consents.",High,US-MP.8,Antonio Jones
Task,Implement Profile Data Validation,"Add client-side and server-side validation. Real-time error messages. Components: ProfileValidation.tsx. Hooks: useProfileValidation.ts.",Medium,US-MP.9,Antonio Jones
Task,Integrate Stripe Payment Methods API,"Implement Stripe PaymentMethods API for adding cards. Components: AddPaymentMethodForm.tsx. Edge Functions: create-payment-method. Tables: N/A (Stripe hosted).",Critical,US-PM.1,Antonio Jones
Task,Build Default Payment Method Toggle,"Add default payment toggle UI. Update Stripe customer default. Components: PaymentMethodCard.tsx. Edge Functions: set-default-payment. Tables: N/A (Stripe hosted).",Medium,US-PM.2,Antonio Jones
Task,Implement Payment Method Removal,"Add 'Remove' button with confirmation. Detach from Stripe. Components: RemovePaymentButton.tsx. Edge Functions: remove-payment-method. Tables: N/A (Stripe hosted).",High,US-PM.3,Antonio Jones
Task,Build Payment History Display,"Create transaction history page with filtering. Components: PaymentHistory.tsx. Tables: stripe_transactions (new table synced via webhook).",Medium,US-PM.4,Antonio Jones
Task,Implement PCI Compliance Audit,"Ensure PCI DSS Level 1 compliance. Document security measures. No code changes. Audit: PCI compliance checklist.",Critical,US-PM.5,Antonio Jones
Task,Build Delivery Tracking Map,"Integrate map API (Google Maps, Mapbox). Display driver location in real-time. Components: DeliveryTrackingMap.tsx. Tables: delivery_tracking (new table).",Medium,US-OT.5,Antonio Jones
Task,Implement Order Status Notifications,"Set up push and email notifications for status changes. Edge Functions: send-order-notification. Tables: notification_settings (new table).",High,US-OT.6,Antonio Jones
Task,Build Order Modification UI,"Add order modification support if status allows. Components: ModifyOrderModal.tsx. Edge Functions: modify-order. Tables: orders.",Medium,US-OT.7,Antonio Jones
Task,Build Spending Patterns Visualization,"Create spending graph with category filtering. Components: SpendingChart.tsx. Hooks: useSpendingAnalytics.ts. Tables: orders.",Medium,US-AD.1,Antonio Jones
Task,Implement Order Frequency Analytics,"Build order frequency metrics and peak time analysis. Components: OrderFrequencyChart.tsx. Tables: orders.",Medium,US-AD.2,Antonio Jones
Task,Build Loyalty Points Metrics Dashboard,"Display points earned/redeemed and tier progression. Components: LoyaltyMetricsCard.tsx. Tables: points_transactions, user_rewards.",Medium,US-AD.3,Antonio Jones
Task,Implement Personalized Insights Engine,"Build AI-powered insights generator. Components: PersonalizedInsights.tsx. Edge Functions: generate-insights (Lovable AI). Tables: user_insights (new table).",Medium,US-AD.4,Antonio Jones
Task,Build Data Export Functionality,"Implement CSV export for dashboard data. Components: ExportDataButton.tsx. Edge Functions: export-user-data. Tables: N/A.",Low,US-AD.5,Antonio Jones
Task,Implement Period Comparison Charts,"Build comparative analytics across time periods. Components: PeriodComparisonChart.tsx. Tables: orders.",Low,US-AD.6,Antonio Jones
Task,Build Biometric Setup Flow,"Create biometric setup UI. Integrate WebAuthn for biometric credentials. Components: BiometricSetup.tsx. Hooks: useBiometricAuth.ts.",High,US-BS.1,Antonio Jones
Task,Implement Biometric Disable Flow,"Add disable biometric option with confirmation. Components: BiometricSettings.tsx. Tables: N/A (credential removal).",Medium,US-BS.2,Antonio Jones
Task,Build Biometric Preferences UI,"Create preference controls for biometric usage. Components: BiometricPreferences.tsx. Tables: user_biometric_preferences (new table).",Medium,US-BS.3,Antonio Jones
Task,Implement Biometric Fallback Logic,"Add automatic fallback to OTP on biometric failure. Components: BiometricFallback.tsx. Hooks: useBiometricFallback.ts.",High,US-BS.4,Antonio Jones
Task,Build Multiple Biometric Credential Support,"Support multiple biometric registrations per user. Components: BiometricDeviceManager.tsx. Tables: user_biometric_devices (new table).",Low,US-BS.5,Antonio Jones
Task,Implement Biometric Audit Logging,"Log biometric authentication attempts. Components: N/A. Tables: biometric_audit_logs (new table).",Medium,US-BS.6,Antonio Jones
Task,Build Safety Alert System,"Implement alert generation based on BAC thresholds. Components: SobrietyAlert.tsx. Edge Functions: generate-safety-alert. Tables: sobriety_alerts.",Critical,US-SM.3,Antonio Jones
Task,Integrate Wearable Device APIs,"Integrate Apple Health, Google Fit, Fitbit APIs. Components: WearableIntegration.tsx. Edge Functions: sync-wearable-data. Tables: biometric_readings.",Medium,US-SM.4,Antonio Jones
Task,Build Responsible Drinking Tips Library,"Create tips library and display during sessions. Components: ResponsibleDrinkingTips.tsx. Tables: drinking_tips (new table).",Medium,US-SM.5,Antonio Jones
Task,Implement Stripe PaymentIntent Creation,"Create PaymentIntent for order checkout. Handle 3D Secure (SCA). Edge Functions: create-payment-intent. Tables: N/A (Stripe hosted).",Critical,US-SI.4,Antonio Jones
Task,Implement Stripe Refund API,"Build refund processing for canceled orders. Edge Functions: process-refund. Tables: refunds (new table).",High,US-SI.6,Antonio Jones
Task,Build Stripe Webhook Handlers,"Implement webhook endpoints for payment events. Verify webhook signatures. Edge Functions: stripe-webhook-handler. Tables: webhook_events (new table).",High,US-SI.7,Antonio Jones
Task,Implement Stripe Subscription API,"Build subscription billing for loyalty memberships. Edge Functions: create-subscription, cancel-subscription. Tables: subscriptions (new table).",Medium,US-SI.8,Antonio Jones
Task,Build Payment Analytics Dashboard,"Create admin dashboard for payment metrics. Components: PaymentAnalyticsDashboard.tsx. Tables: payment_analytics (new table).",Medium,US-SI.9,Antonio Jones
Task,Create Audit Logs Table,"Create database table for security audit logs. Migration: create_audit_logs_table.sql. Tables: audit_logs.",Medium,US-PC.5,Antonio Jones
Task,Create Data Retention Requests Table,"Create table for tracking data export/deletion requests. Migration: create_data_retention_requests_table.sql. Tables: data_retention_requests.",High,US-PC.3,Antonio Jones
Task,Create User Consents Table,"Create table for storing user consent choices. Migration: create_user_consents_table.sql. Tables: user_consents.",High,US-PC.6,Antonio Jones
Task,Build Data Export Functionality,"Implement data export in JSON/CSV format. Edge Functions: export-user-data. Tables: data_retention_requests.",High,US-PC.3,Antonio Jones
Task,Build Data Deletion Flow,"Implement data deletion request with 30-day grace period. Edge Functions: request-data-deletion, execute-data-deletion. Tables: data_retention_requests.",High,US-PC.4,Antonio Jones
Task,Build Consent Management UI,"Create consent toggles with timestamp logging. Components: ConsentManager.tsx. Tables: user_consents.",High,US-PC.6,Antonio Jones
Task,Implement Privacy Policy Versioning,"Add version tracking and change notifications. Edge Functions: notify-policy-change. Tables: privacy_policy_versions (new table).",Medium,US-PC.8,Antonio Jones
Task,Document Data Retention Policy,"Create data retention policy documentation. No code changes. Documentation: data_retention_policy.md.",Medium,US-PC.9,Antonio Jones
Task,Create Venue Partnership Inquiries Table,"Create database table for partnership inquiries. Migration: create_venue_partnership_inquiries_table.sql. Tables: venue_partnership_inquiries.",High,US-VP.2,Antonio Jones
Task,Build Partnership Inquiry Form,"Create inquiry form with validation. Components: PartnershipInquiryForm.tsx. Edge Functions: submit-partnership-inquiry. Tables: venue_partnership_inquiries.",High,US-VP.2,Antonio Jones
Task,Implement Inquiry Email Notifications,"Send confirmation to venue and notification to sales team. Edge Functions: send-partnership-notification. Tables: venue_partnership_inquiries.",High,US-VP.2,Antonio Jones
Task,Build Partnership Program Details Page,"Create detailed program information page. Components: PartnershipProgramDetails.tsx. Tables: N/A (static content).",Medium,US-VP.3,Antonio Jones
Task,Build Sales Contact Form,"Add contact form or email link for sales team. Components: SalesContactForm.tsx. Tables: N/A.",Medium,US-VP.4,Antonio Jones
Task,Implement Inquiry Status Tracking,"Build status tracking for partnership inquiries. Components: InquiryStatusTracker.tsx. Tables: venue_partnership_inquiries (add status column).",Low,US-VP.5,Antonio Jones
Task,Create Buddy List Table,"Create database table for managing buddy relationships. Migration: create_buddy_lists_table.sql. Tables: buddy_lists (user_id, buddy_id, status, created_at).",High,US-SDG.1,Antonio Jones
Task,Build Buddy List Management UI,"Create UI for adding, viewing, removing buddies. Components: BuddyListManager.tsx. Tables: buddy_lists.",High,US-SDG.1,Antonio Jones
Task,Implement Drink Assignment UI,"Add 'Assign to Buddy' option in cart. Components: AssignDrinkToBuddy.tsx. Tables: cart_assignments (new table).",High,US-SDG.2,Antonio Jones
Task,Build Assignment Notification System,"Send push notifications to assignees. Edge Functions: send-assignment-notification. Tables: drink_assignments (new table).",High,US-SDG.3,Antonio Jones
Task,Implement Assignee Acceptance Flow,"Build acceptance/decline UI for assignees. Components: DrinkAssignmentAcceptance.tsx. Tables: drink_assignments.",High,US-SDG.3,Antonio Jones
Task,Integrate Assigned Drinks with Sobriety Monitor,"Auto-log accepted drinks to assignee's session. Update BAC. Edge Functions: log-assigned-drink. Tables: drinking_sessions, drink_records.",High,US-SDG.4,Antonio Jones
Task,Build Group Order Creation UI,"Create group order flow with buddy selection. Components: CreateGroupOrder.tsx. Tables: group_orders (new table).",Medium,US-SDG.5,Antonio Jones
Task,Implement Payment Split Logic,"Build payment split options (even, by assignee, single payer). Edge Functions: process-group-payment. Tables: group_order_payments (new table).",Medium,US-SDG.6,Antonio Jones
Task,Build Group Order History View,"Display group order history with participant details. Components: GroupOrderHistory.tsx. Tables: group_orders.",Low,US-SDG.7,Antonio Jones
Task,Build AI Sobriety Advisor Edge Function,"Create Lovable AI Edge Function for sobriety recommendations. Edge Functions: ai-sobriety-advisor. Model: google/gemini-2.5-flash. Tool: send_safety_alert.",Critical,US-AIS.1,Antonio Jones
Task,Implement Predictive BAC Calculation,"Build predictive BAC engine based on current BAC and drinks in cart. Components: PredictiveBACCalculator.tsx. Tables: N/A (calculation logic).",Critical,US-AIS.2,Antonio Jones
Task,Build AI Intervention Strategies Generator,"Create AI-powered intervention suggestion engine. Edge Functions: ai-sobriety-advisor (enhance). Tables: ai_intervention_effectiveness.",High,US-AIS.3,Antonio Jones
Task,Implement Emergency Contact Notification System,"Build emergency SMS/call system for critical BAC. Edge Functions: send-emergency-contact-alert. Tables: emergency_contacts (new table).",Critical,US-AIS.4,Antonio Jones
Task,Implement AI Effectiveness Tracking,"Track user responses to AI interventions. Components: InterventionFeedback.tsx. Tables: ai_intervention_effectiveness.",Medium,US-AIS.5,Antonio Jones
Task,Build Voice Command Parser,"Integrate Web Speech API for voice recognition. Components: VoiceCommandButton.tsx. Edge Functions: parse-voice-command (Lovable AI NLP). Tables: N/A.",High,US-VO.1,Antonio Jones
Task,Implement Voice Product Search,"Build voice-to-text product search. Components: VoiceSearch.tsx. Hooks: useVoiceSearch.ts. Tables: N/A.",Medium,US-VO.2,Antonio Jones
Task,Build Voice Order Confirmation,"Add voice confirmation at checkout. Components: VoiceConfirmation.tsx. Tables: N/A.",Medium,US-VO.3,Antonio Jones
Task,Implement Voice Accessibility Mode,"Create accessibility-focused voice navigation. Components: AccessibilityVoiceMode.tsx. Tables: N/A.",High,US-VO.4,Antonio Jones
Task,Add Multi-Language Voice Support,"Integrate multi-language STT and NLP. Edge Functions: parse-voice-command (enhance). Tables: N/A.",Low,US-VO.5,Antonio Jones
Task,Create Allergen Profile Table,"Create database table for user allergen profiles. Migration: create_allergen_profiles_table.sql. Tables: allergen_profiles (user_id, allergen_list, severity).",High,US-AG.1,Antonio Jones
Task,Build Allergen Profile Management UI,"Create allergen profile setup and edit UI. Components: AllergenProfileManager.tsx. Tables: allergen_profiles.",High,US-AG.1,Antonio Jones
Task,Implement Real-Time Allergen Warnings,"Display allergen warnings on product cards and detail pages. Components: AllergenWarningBadge.tsx, AllergenWarningModal.tsx. Tables: allergen_profiles, products.",Critical,US-AG.2,Antonio Jones
Task,Build Severity-Based Alert System,"Implement severity-based allergen alerts (blocking vs. warning). Components: SeverityAlertHandler.tsx. Tables: allergen_profiles.",High,US-AG.3,Antonio Jones
Task,Add Cross-Contamination Warnings,"Display cross-contamination risk warnings. Components: CrossContaminationWarning.tsx. Tables: products (add cross_contamination_info column).",Medium,US-AG.4,Antonio Jones
Task,Build Alternative Product Recommendation Engine,"Create AI-powered alternative product suggestions. Edge Functions: suggest-allergen-alternatives (Lovable AI). Tables: products.",Medium,US-AG.5,Antonio Jones
Task,Build AI Venue Recommendation Engine,"Create AI-powered venue recommendation system. Edge Functions: recommend-venues (Lovable AI). Tables: user_preferences (new table), venues.",High,US-VD.1,Antonio Jones
Task,Implement Occasion-Based Venue Suggestions,"Build occasion selector and occasion-aware venue ranking. Components: OccasionSelector.tsx. Edge Functions: recommend-venues (enhance). Tables: venues (add tags column).",Medium,US-VD.2,Antonio Jones
Task,Build Group Preference Matching,"Create group preference aggregation for venue recommendations. Components: GroupVenueRecommendation.tsx. Edge Functions: recommend-venues (enhance). Tables: buddy_lists.",Medium,US-VD.3,Antonio Jones
Task,Integrate Real-Time Venue Availability,"Display real-time wait times and table availability. Components: VenueAvailability.tsx. Tables: venue_availability (new table).",Low,US-VD.4,Antonio Jones
Task,Implement Personalized Venue Ranking,"Build personalized ranking algorithm. Edge Functions: recommend-venues (enhance). Tables: user_preferences, check_ins, orders.",Medium,US-VD.5,Antonio Jones
Task,Build Group Order Preference Coordinator,"Create AI-powered preference coordination for group orders. Edge Functions: coordinate-group-order (Lovable AI). Tables: group_orders, buddy_lists.",High,US-GO.1,Antonio Jones
Task,Implement AI Conflict Resolution,"Build conflict detection and resolution system. Edge Functions: coordinate-group-order (enhance). Tables: group_orders.",Medium,US-GO.2,Antonio Jones
Task,Build Budget Optimization System,"Create AI-powered budget optimization for group orders. Components: GroupOrderBudget.tsx. Edge Functions: coordinate-group-order (enhance). Tables: group_orders.",Medium,US-GO.3,Antonio Jones
Task,Implement Order Timing Coordination,"Build timing coordination for group orders. Components: GroupOrderTiming.tsx. Edge Functions: coordinate-group-order (enhance). Tables: group_orders.",Low,US-GO.4,Antonio Jones
Task,Build Dietary Accommodation System,"Ensure dietary restrictions are met in group orders. Components: GroupDietaryChecker.tsx. Edge Functions: coordinate-group-order (enhance). Tables: allergen_profiles.",High,US-GO.5,Antonio Jones
Task,Build AI Spending Insights Generator,"Create AI-powered spending analysis. Edge Functions: analyze-spending (Lovable AI). Tables: orders, points_transactions.",Medium,US-RA.1,Antonio Jones
Task,Implement AI Category Tracking,"Build automatic spending categorization. Edge Functions: analyze-spending (enhance). Tables: orders.",Medium,US-RA.2,Antonio Jones
Task,Build Budget Tracking Alert System,"Create budget tracking and alerts. Components: BudgetAlerts.tsx. Tables: user_budgets (new table).",High,US-RA.3,Antonio Jones
Task,Implement Predictive Spending Forecasts,"Build AI-powered spending predictions. Edge Functions: analyze-spending (enhance). Tables: orders.",Low,US-RA.4,Antonio Jones
Task,Build Tax and Expense Report Generator,"Create tax/expense report generation. Components: ExpenseReportGenerator.tsx. Edge Functions: generate-expense-report. Tables: orders.",Low,US-RA.5,Antonio Jones
Task,Implement Financial Goal Tracking,"Build goal setting and tracking system. Components: FinancialGoals.tsx. Tables: user_financial_goals (new table).",Medium,US-RA.6,Antonio Jones
